Summer Music Festival,15-07-2025,Central Park,Music,50,200,150
Tech Conference 2025,20-08-2025,Convention Center,Conference,75,100,85
Football Championship,10-09-2025,Stadium Arena,Sports,60,500,320
Jazz Night Live,05-08-2025,Blue Note Club,Music,40,150,120
Business Summit,25-09-2025,Grand Hotel,Conference,100,200,150
Basketball Finals,30-08-2025,Sports Complex,Sports,55,300,200
Rock Concert,12-10-2025,Music Hall,Music,65,400,248
Developer Workshop,18-09-2025,Tech Hub,Conference,80,120,90
Qawwali Night with Nusrat Fateh Ali Khan Tribute,14-02-2025,Alhamra Arts Council,Music,45,300,250
Basant Kite Flying Festival,23-02-2025,Minar-e-Pakistan Ground,Other,35,1000,800
Pakistan vs India Cricket Match,15-03-2025,Gaddafi Stadium,Sports,150,50000,35000
Eid Mela Cultural Festival,10-04-2025,Expo Center,Other,40,5000,4000
Pakistani Food Festival,20-04-2025,Food Street Lahore,Other,25,2000,1500
Traditional Kathak Dance Performance,05-05-2025,PNCA Auditorium,Other,50,500,400
Urdu Poetry Night Mushaira,18-05-2025,Alhamra Hall,Other,30,400,320
Shalimar Garden Cultural Show,25-05-2025,Shalimar Gardens,Other,40,800,600
Pakistan Day Parade,23-03-2025,Constitution Avenue,Other,0,100000,95000
Sufi Music Festival,12-06-2025,Data Darbar,Music,35,2000,1800
Pakistani Pop Concert,28-06-2025,Alhamra Open Air,Music,60,5000,4200
Traditional Wedding Show,15-07-2025,Pearl Continental,Other,55,600,500
Pakistani Film Festival,08-08-2025,Cinepax Cinema,Other,45,1000,850
Bhangra Dance Competition,22-08-2025,Stadium Ground,Other,40,3000,2500
Pakistani Independence Day Celebration,14-08-2025,Minar-e-Pakistan,Other,0,50000,48000
Traditional Handicrafts Exhibition,30-08-2025,Expo Center,Other,20,3000,2500
